,body_length_mm,body_volume_mm3,flipper_length_mm,body_mass_g,sex
147,478,3357,226,6030,Female
148,362,6019,224,6278,Male
149,395,3667,172,5396,Female
150,351,7468,193,5953,Female
151,395,8127,192,6011,Female
152,431,4145,228,3488,Female
153,450,8467,177,6616,Female
154,442,7185,223,7464,Female
155,470,6719,226,6526,Female
156,328,5745,216,6679,Male
157,335,3539,206,4182,Male
158,312,5779,172,7165,Male
159,459,7964,220,6463,Male
160,370,7136,202,3433,Male
161,486,7835,197,6098,Male
162,385,6775,216,5733,Male
163,327,8320,177,4480,Female
164,365,8024,203,4355,Female
165,469,5508,204,5556,Female
166,344,5779,201,3292,Female
167,361,3924,193,3291,Male
168,484,5956,183,4309,Male
169,433,4581,201,7890,Female
170,327,6324,225,4755,Female
171,327,7485,215,6110,Male
172,407,8713,212,4107,Female
173,343,3255,185,7679,Female
174,383,7804,173,3484,Female
175,329,4838,221,6176,Female
176,489,4944,206,5880,Male
177,374,3009,223,3019,Female
178,427,5871,190,3090,Female
179,391,3797,183,3550,Male
180,489,7972,200,6133,Male
181,428,8124,224,6944,Female
182,420,4015,217,3459,Male
183,326,4824,187,3192,Female
184,489,7469,176,6399,Female
185,420,6136,179,6973,Male
186,415,5193,176,5446,Female
187,302,3223,202,3026,Female
188,402,8358,192,5724,Female
189,497,8898,190,4753,Female
190,499,7948,188,5844,Male
191,454,7158,217,6465,Male
192,436,8336,188,7855,Female
193,361,6925,205,4375,Male
194,464,7784,198,4263,Female
195,350,8580,229,3020,Female
196,471,7000,187,3516,Female
197,451,4633,171,7609,Female
198,358,5152,170,2616,Female
199,417,3510,216,4933,Male
200,459,3384,174,7963,Female
201,395,3404,189,3083,Male
202,479,7613,180,2894,Male
203,412,7571,211,7683,Female
204,361,5000,171,6288,Female
205,485,5756,172,5268,Female
206,351,4668,192,6667,Female
207,311,8989,224,6360,Female
208,338,4460,181,2773,Male
209,429,6636,189,4513,Female
210,430,5724,174,7939,Female
211,412,7809,206,6933,Male
212,400,7178,207,3889,Male
213,412,8264,199,6066,Female
214,483,8997,178,7202,Male
215,380,5048,203,2665,Female
216,486,7146,222,4067,Male
217,412,7780,213,7920,Male
218,301,3716,204,3228,Female
219,429,8565,221,4543,Male
220,353,7544,227,6697,Male
221,386,7976,191,5996,Male
222,428,7583,213,3278,Male
223,446,4823,193,2713,Male
224,425,5081,186,6262,Male
225,429,6419,179,7707,Female
226,352,4574,199,4076,Female
227,471,3249,225,4948,Male
228,459,3673,228,5436,Female
229,497,7533,215,5617,Female
230,459,5165,192,3091,Female
231,367,3770,201,7929,Male
232,482,6962,186,7705,Female
233,483,7363,219,5220,Male
234,422,4984,220,3213,Female
235,444,4077,186,3435,Male
236,337,3235,183,6837,Male
237,323,3388,178,2501,Female
238,368,6037,209,5348,Female
239,415,7858,171,6544,Male
240,397,4848,214,4449,Female
241,497,7719,194,3417,Female
242,438,5814,208,5674,Female
243,443,6374,178,4741,Male
244,396,6278,223,2589,Male
245,423,4252,191,4209,Female
246,486,6981,212,4669,Female
247,369,7673,215,6738,Female
248,392,5122,173,5541,Male
249,302,7530,195,2605,Male
250,447,5150,227,3386,Female
251,486,7859,198,2927,Female
252,463,4329,214,7924,Female
253,446,4358,203,4395,Female
254,389,5482,192,2816,Female
255,494,7542,206,3134,Female
256,446,5017,180,4425,Male
257,447,4331,175,4556,Female
258,395,7344,187,5644,Male
259,498,7261,190,4770,Female
260,351,4358,211,3939,Female
261,460,8115,205,3052,Male
262,467,7637,210,3215,Male
263,427,7854,207,7883,Male
264,338,6177,203,6411,Male
265,381,5128,186,4213,Female
266,403,5180,206,5889,Male
267,428,7892,194,3607,Female
268,310,3137,207,7937,Male
269,484,6472,227,6706,Female
270,477,8449,181,2750,Female
271,450,5832,192,4930,Female
272,458,6579,222,4554,Female
273,341,8971,211,2958,Female
274,398,6031,191,7703,Female
275,306,7164,190,2707,Male
276,443,5593,196,3399,Female
277,389,8569,226,5961,Male
278,411,7300,200,5885,Male
279,359,6818,175,2521,Female
280,412,7138,196,2909,Male
281,301,6823,209,3394,Female
282,428,7042,203,3014,Male
283,347,4906,181,7404,Female
284,439,3760,214,7469,Male
285,496,6445,226,6609,Female
286,336,3899,222,7566,Female
287,459,7455,176,4634,Female
288,308,5947,179,6095,Female
289,398,4719,214,5456,Male
290,446,3280,186,4060,Female
291,347,6266,195,7920,Male
292,430,4887,190,3766,Male
293,447,6266,197,4669,Male
294,451,3666,227,6138,Female
295,353,7188,215,3249,Male
296,419,3671,171,5927,Male
297,460,4969,229,7280,Male
298,451,7156,223,4427,Female
299,415,6122,212,6304,Female
300,374,8124,170,6202,Male
301,412,8585,220,4856,Female
302,499,7699,222,7290,Female
303,463,7777,205,4835,Male
304,465,6900,220,2806,Male
305,403,8524,195,6165,Female
306,383,3523,198,4489,Male
307,411,5393,190,3161,Female
308,398,6117,180,7144,Female
309,452,5593,209,2811,Female
310,392,4968,180,5420,Female
311,445,8197,205,3582,Female
312,427,4753,218,5471,Female
313,409,8932,228,3254,Male
314,381,5296,208,6630,Male
315,493,8240,209,7040,Female
316,353,5261,204,7826,Female
317,462,5286,223,2852,Female
318,488,8175,203,3402,Male
319,468,7202,224,7951,Female
320,460,5878,216,6388,Male
321,367,7143,193,2658,Female
322,332,6644,223,4477,Female
323,441,7432,191,3456,Male
324,320,8145,174,4571,Male
325,347,8376,225,2903,Female
326,447,5055,202,7111,Female
327,427,7720,227,5279,Female
328,435,8986,205,3887,Male
329,434,4276,216,5953,Male
330,494,8811,189,3455,Male
331,444,5766,188,4212,Male
332,427,3302,204,7203,Male
333,332,3638,221,3773,Male
334,475,3055,212,6311,Female
335,486,7821,186,5125,Female
336,414,3525,228,4882,Male
337,418,7569,214,3941,Female
338,321,7123,212,5479,Female
339,457,5125,203,4297,Male
340,337,6287,178,6890,Female
341,408,3364,195,6509,Male
342,350,7621,171,7350,Male
343,481,8431,222,3894,Female
344,307,7978,178,6781,Male
345,326,8126,178,3769,Male
346,326,8122,209,7232,Male
347,320,4646,186,7887,Male
348,329,3918,170,6214,Male
349,396,5797,194,3029,Male
350,327,8870,212,6123,Male
351,410,4531,209,5458,Male
352,491,6345,211,5414,Female
353,496,4906,194,7389,Female
354,360,6086,208,6091,Female
355,347,8311,204,4647,Male
356,446,8750,172,7073,Male
357,303,7580,219,5869,Female
358,334,5075,206,3439,Female
359,491,3713,213,3025,Female
360,348,4062,213,2501,Male
361,316,4976,220,2874,Female
362,471,4296,199,4840,Female
363,457,8350,207,6505,Male
364,345,3125,203,5552,Female
365,416,7632,181,7148,Male
366,305,6596,188,4865,Male
367,398,6283,206,4025,Male
368,423,4603,213,6976,Female
369,336,3066,228,4146,Female
370,323,3232,228,2513,Male
371,392,5156,218,7099,Female
372,345,4169,186,4778,Female
373,480,5158,179,5655,Female
374,394,7206,226,2629,Female
375,398,4493,224,6314,Male
376,487,7718,218,7433,Female
377,415,7007,216,5716,Male
378,490,5472,181,5438,Male
379,459,5660,185,6428,Female
380,460,8637,193,4540,Male
381,366,5739,188,2527,Female
382,427,8401,177,4613,Female
383,317,4761,200,3752,Male
384,324,6514,190,6856,Male
385,353,4975,186,4546,Male
386,357,5362,192,7055,Male
387,366,3876,206,6523,Female
388,403,6812,223,6896,Female
389,473,6448,185,5874,Female
390,323,4312,175,5966,Male
391,413,4460,177,5581,Male
392,331,5709,194,6278,Male
393,474,5324,187,3129,Female
394,385,4733,194,2769,Male
395,450,4605,181,5139,Female
396,493,8622,184,4493,Male
397,426,5563,228,5391,Female
398,454,6421,195,7457,Female
399,429,6517,210,5932,Male
400,316,5397,214,3780,Male
401,403,8726,195,4860,Female
402,460,6735,216,3075,Female
403,436,5870,201,3807,Male
404,342,4160,179,5692,Male
405,475,7854,185,5678,Female
406,338,3242,176,5234,Male
407,469,5590,186,4712,Female
408,325,4063,192,4852,Female
409,398,7324,195,6068,Male
410,349,5595,190,4155,Male
411,452,3919,191,4079,Male
412,451,8342,227,4703,Male
413,312,3005,176,3890,Male
414,359,3467,183,4242,Female
415,434,8851,184,4425,Female
416,356,7170,222,3119,Male
417,335,3003,176,3774,Male
418,472,8966,178,3456,Male
419,319,3645,220,4439,Female
420,364,3117,217,6453,Male
421,307,5928,177,4881,Male
422,443,8725,219,3468,Female
423,441,5551,228,3816,Female
424,414,8042,192,3543,Male
425,442,8560,198,2781,Male
426,391,7289,187,5344,Male
427,397,3846,200,3558,Female
428,365,5762,199,6793,Male
429,331,8511,221,5032,Male
430,490,8554,208,6328,Male
431,385,8764,204,7678,Female
432,350,8529,187,7780,Female
433,452,4141,228,3508,Male
434,485,4810,211,3729,Male
435,362,3723,208,3535,Female
436,489,3224,186,7085,Female
437,424,7627,183,2775,Female
438,449,7208,200,5240,Female
439,357,7654,193,4789,Female
440,357,5048,204,3739,Female
441,385,7749,213,7870,Female
442,348,7415,229,2625,Female
443,479,4573,214,6565,Female
444,469,4828,203,6812,Male
445,369,4917,172,6368,Male
446,314,7234,206,3708,Male
447,353,5026,212,7842,Female
448,487,6744,209,5749,Male
449,400,3901,195,3418,Female
450,307,7785,224,7913,Female
451,352,5039,192,6423,Male
452,359,3009,213,6903,Female
453,407,3260,208,7955,Male
454,304,4673,184,4469,Male
455,402,5219,225,5293,Male
456,495,5060,218,3391,Female
457,305,8287,173,6970,Male
458,408,6713,198,4533,Female
459,415,4619,191,3864,Male
460,393,3320,194,2628,Male
461,346,4342,182,3514,Male
462,398,8732,187,4299,Female
463,354,5376,202,7977,Female
464,467,5832,185,7112,Female
465,351,5824,214,4018,Male
466,443,4994,211,6681,Male
467,312,5958,213,3698,Female
468,413,5038,171,6373,Female
469,423,6490,224,7738,Female
470,405,6677,204,4974,Female
471,457,4118,211,5985,Female
472,446,4604,203,6549,Female
473,444,7027,199,6219,Male
474,419,3235,228,2802,Female
475,362,4969,224,6452,Male
476,318,7429,182,7183,Male
477,391,4908,182,3486,Female
478,357,3375,187,4363,Female
479,482,6530,201,6940,Male
480,389,8256,201,7409,Female
481,416,5635,204,5572,Female
482,361,4570,228,7906,Male
483,322,5560,208,5624,Male
484,426,8415,215,3827,Male
485,436,6391,221,7688,Female
486,439,5965,198,4908,Male
487,428,6643,218,6173,Female
488,357,8951,198,5791,Male
489,421,8468,222,6533,Male
490,300,6850,213,7605,Male
491,333,3872,226,3203,Female
492,395,4252,185,3074,Female
493,425,8947,225,5732,Male
494,417,4314,213,7708,Male
495,347,7820,216,7283,Male
496,388,5898,226,5132,Female
497,416,3077,179,6328,Male
498,428,5621,199,5730,Female
499,315,7227,194,2988,Male
500,488,3600,208,3847,Male
501,491,8868,189,6181,Male
502,490,4065,174,5673,Male
503,368,5136,170,7089,Male
504,321,5449,199,4167,Male
505,392,5343,218,4137,Female
506,494,4863,172,6614,Male
507,375,4318,214,6053,Female
508,453,7711,183,3500,Male
509,443,6597,225,3350,Male
510,478,6762,199,3888,Female
511,385,8984,219,7950,Male
512,484,8142,173,6212,Female
513,328,7670,187,3867,Female
514,368,5190,206,3321,Male
515,346,3992,194,2954,Female
516,393,5712,217,4124,Female
517,489,5192,170,5272,Male
518,496,4248,222,6226,Female
519,443,6054,215,5647,Male
520,475,7598,184,6589,Male
521,384,7033,178,7306,Male
522,338,4997,184,4690,Male
523,399,7916,218,3416,Female
524,332,6687,226,6486,Male
525,400,5151,193,5375,Male
526,322,7018,173,3940,Female
527,309,6110,181,6900,Male
528,368,4970,228,3235,Male
529,399,3197,227,6068,Female
530,333,8765,206,5838,Female
531,479,5626,206,5515,Female
532,437,4202,212,5389,Female
533,446,8567,229,3461,Female
534,485,8742,175,5489,Female
535,395,8788,208,6348,Female
536,300,8408,225,3526,Male
537,368,5035,215,6365,Female
538,303,3477,193,5363,Female
539,315,4254,180,5001,Female
540,323,3922,182,4447,Male
541,379,3419,203,3677,Male
542,301,5204,194,7260,Female
543,427,5597,176,2511,Female
544,459,4120,221,7752,Female
545,383,6068,173,6899,Male
546,451,3950,228,5864,Male
547,439,5336,177,5522,Female
548,477,8373,189,5871,Male
549,462,5243,198,5330,Female
550,423,5645,223,2542,Male
551,332,4857,222,3443,Male
552,460,7612,220,4890,Female
553,488,8754,214,7945,Female
554,478,4865,215,5045,Female
555,470,5912,179,4911,Female
556,400,8237,212,7486,Male
557,311,5853,203,3504,Male
558,366,7910,226,2520,Male
559,364,8996,195,2906,Female
560,460,6228,210,3514,Male
561,467,6719,218,6931,Female
562,373,6228,227,4338,Male
563,342,5371,172,5688,Female
564,343,5891,225,7743,Female
565,328,6756,175,3214,Male
566,440,7225,174,6646,Female
567,311,3094,174,6354,Female
568,394,5674,223,6919,Male
569,345,4955,216,7384,Female
570,429,3793,192,2640,Female
571,334,4834,218,7065,Female
572,380,5116,178,7382,Male
573,389,8779,204,7953,Male
574,307,7106,189,3463,Female
575,392,6325,227,2872,Male
576,453,8961,218,6135,Female
577,389,5919,228,5041,Female
578,461,5597,211,6110,Female
579,414,6205,204,4192,Female
580,404,7807,219,7775,Female
581,434,3814,187,2605,Male
582,495,3345,186,4181,Female
583,357,5349,193,6597,Male
584,413,3362,172,6516,Male
585,374,5443,201,5136,Female
586,456,5265,204,4637,Female
587,419,5188,207,5916,Male
588,463,6005,182,6945,Male
589,320,6281,225,6030,Male
590,463,3984,216,3786,Female
591,437,4639,194,5679,Male
592,400,3827,178,7658,Female
593,451,5730,173,6154,Female
594,491,6531,183,4859,Female
595,476,7451,206,2944,Male
596,398,8443,203,7547,Female
597,335,5935,180,2535,Female
598,395,6876,210,7703,Female
599,451,8959,225,3975,Female
